feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Schaalia	condition	control	1.3620745363213	0.578994916035846	50	37	0.0227965886027136	0.049616104605906
g__Bacteroidetes_.G.5.	condition	control	-1.75810538992995	0.75349760388353	50	10	0.0238716058054357	0.0504713951314926
g__Acidipropionibacterium	condition	control	-0.770147007041945	0.331993247720244	50	6	0.0246530625167732	0.0506757396178116
g__Oribacterium	condition	control	-1.99336729978691	0.889845311449773	50	27	0.0297483563107163	0.0594967126214325
g__Cardiobacterium	condition	control	2.08137842894906	0.937081153430312	50	34	0.0310940687099569	0.0605516074878108
g__Lacticaseibacillus	condition	control	-1.60744334620428	0.744248776643998	50	14	0.0358112307061317	0.0676582669259918
g__Peptococcus	condition	control	-1.22914572869529	0.571534443516117	50	18	0.0365720361762118	0.0676582669259918
g__Olsenella	condition	control	-1.6865581174431	0.78888904580415	50	19	0.0376454250277833	0.0679454012696576
g__Saccharibacteria_.TM7._.G.1.	condition	control	1.38867837804886	0.65662361623821	50	29	0.0396583532206651	0.0698742413887909
g__Aggregatibacter	condition	control	1.20625652010022	0.603706886698747	50	32	0.051390417132527	0.0884393225071394
g__Lachnospiraceae_.G.3.	condition	control	0.962181796503165	0.487712769394718	50	18	0.05428743730604	0.0913015991056127
g__Lachnospiraceae_.G.2.	condition	control	0.335705485163358	0.172042108483825	50	6	0.05687092176276	0.0935210713432054
g__Scardovia	condition	control	-0.859502261586568	0.443694096594541	50	8	0.0586240573932854	0.0943082662413721
g__Bacteroidales_.G.2.	condition	control	-1.68468408523888	0.897194925655332	50	20	0.066502011635781	0.10435148786133
g__Absconditabacteria_.SR1._.G.1.	condition	control	1.08894436977484	0.582539113893759	50	17	0.0676874515857276	0.10435148786133
g__Megasphaera	condition	control	-0.814413489674772	0.438865389453802	50	13	0.069638156793129	0.105167828626358
g__Peptostreptococcus	condition	control	-1.87261579841252	1.01440464888743	50	26	0.0710603768494706	0.105169357737216
g__Peptostreptococcaceae_.G.9.	condition	control	-1.09334503842056	0.616105878878128	50	14	0.0823050263979006	0.119422979479307
g__Slackia	condition	control	-0.478444402992154	0.286407549038117	50	6	0.101329092213325	0.144199092765116
g__Fusobacterium	condition	control	-0.847456396649138	0.513763015319801	50	47	0.105573628451284	0.147404688781039
g__Johnsonella	condition	control	-0.843223244716643	0.514345145826018	50	13	0.107666298176328	0.147542704908302
g__Tannerella	condition	control	-1.04133342822754	0.705610082443431	50	26	0.146530127415044	0.197149625976605
g__Parvimonas	condition	control	-1.10965647993756	0.816750884811219	50	39	0.180616923147519	0.23867236273065
